SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,Owned,Wanted,QtyOwned
24083,75095,1,Star Wars,Ultimate Collector Series,2015,TIE Fighter,1,1685,169.99,199.99,229.99,199.99,http://images.brickset.com/sets/images/75095-1.jpg,No,No,0
4880,10144,1,Star Wars,Episode IV,2005,Sandcrawler,11,1669,107.65,139.99,,,http://images.brickset.com/sets/images/10144-1.jpg,No,No,0
22578,10240,1,Star Wars,Ultimate Collector Series,2013,Red Five X-wing Starfighter,1,1559,169.99,199.99,249.99,199.99,http://images.brickset.com/sets/images/10240-1.jpg,No,No,0
9288,10227,1,Star Wars,Ultimate Collector Series,2012,B-Wing Starfighter,,1487,169.99,199.99,249.99,199.99,http://images.brickset.com/sets/images/10227-1.jpg,No,No,0
98,10134,1,Star Wars,Ultimate Collector Series,2004,Y-wing Attack Starfighter,1,1473,109.99,120,,,http://images.brickset.com/sets/images/10134-1.jpg,No,No,0
94,10129,1,Star Wars,Ultimate Collector Series,2003,Rebel Snowspeeder,,1455,,130,,,http://images.brickset.com/sets/images/10129-1.jpg,No,No,0
7127,10198,1,Star Wars,Episode IV,2009,Tantive IV,5,1408,122.99,149.99,199.99,149.99,http://images.brickset.com/sets/images/10198-1.jpg,No,No,0
4766,6211,1,Star Wars,Episode IV,2006,Imperial Star Destroyer,9,1367,79.99,99.99,,,http://images.brickset.com/sets/images/6211-1.jpg,No,No,0
23036,66473,1,Star Wars,Product Collection,2013,LEGO Star Wars Super Pack,,1360,,,,,http://images.brickset.com/sets/images/66473-1.jpg,No,No,0
23366,75055,1,Star Wars,Episode IV,2014,Imperial Star Destroyer,7,1359,119.99,129.99,149.99,129.99,http://images.brickset.com/sets/images/75055-1.jpg,No,No,0
5610,7662,1,Star Wars,Episode I,2007,Trade Federation MTT,21,1330,78.29,99.99,,,http://images.brickset.com/sets/images/7662-1.jpg,No,No,0
